tx	gene_id	HBRRep1	HBRRep2	HBRRep3	UHRRep1	UHRRep2	UHRRep3
ENST00000399744	ENSG00000215193	216.23768	157.961183	164.546699	69.580994	63.615423	87.373552
ENST00000474897	ENSG00000215193	0	0	0	7.833506	0	6.712277
ENST00000622035	ENSG00000225335	0	0	0	0	0	0
ENST00000428061	ENSG00000215193	0	0	0	0	0	0
ENST00000427227	ENSG00000236890	0	0	0	0	0	0
ENST00000450866	ENSG00000235617	0	0	0	0	0	0
ENST00000446487	ENSG00000225225	0	0	0	0	0	0
ENST00000426208	ENSG00000183785	0	23.050235	87.573719	0	0	0
ENST00000316027	ENSG00000183785	207.458467	249.039159	352.153327	0	0	0
ENST00000623543	ENSG00000280007	0.466012	1.150901	0	0.638945	2.549652	0.263427
ENST00000330423	ENSG00000183785	229.748496	99.987014	82.48454	0	0	0
ENST00000416740	ENSG00000183785	30.039541	100.986351	106.261847	0	12.647063	0
ENST00000608634	ENSG00000183785	19.653368	17.564067	41.8445	0	0	0
ENST00000215794	ENSG00000184979	19.271214	31.681625	22.148442	79.030341	55.964543	62.540233
ENST00000434390	ENSG00000187979	0	0	0	0	0	0
ENST00000617623	ENSG00000276160	0	9.367045	0	0	7.793961	0
ENST00000619172	ENSG00000274044	0	0	0	0	0	0
ENST00000618517	ENSG00000274044	0	0	0	0	0	0
ENST00000613790	ENSG00000274044	0	0	0	0	0	0
ENST00000615974	ENSG00000274044	0	0	0	0	0	0
ENST00000622906	ENSG00000276874	0	0	0	0	0	0
ENST00000612861	ENSG00000275060	0	0	0	0	0	0
ENST00000614584	ENSG00000277017	0	0	0	0	0	0
ENST00000615181	ENSG00000277870	0	0	0	0	0	0
ENST00000624459	ENSG00000277870	0	0	0	0	0	0
ENST00000620909	ENSG00000277017	0	0	0	0	0	0
ENST00000624001	ENSG00000277870	0	0	0	0	0	0
ENST00000621762	ENSG00000278044	0	0	0	0	0	0
ENST00000619998	ENSG00000274252	0	0	0	0	0	0
ENST00000618466	ENSG00000275319	0	0	0	0	43.391683	0
ENST00000359859	ENSG00000277690	0	0	0	0	0	0
ENST00000612978	ENSG00000278558	0	0	0	0	7.210108	0
ENST00000614395	ENSG00000278558	0	10.774631	14.247031	0	0	0
ENST00000620199	ENSG00000278558	87.808639	0	29.78393	15.357337	0	0
ENST00000613577	ENSG00000278558	0	0	0	0	0	0
ENST00000621725	ENSG00000278558	0	0	0	0	0	0
ENST00000618859	ENSG00000278558	0	0	0	0	0	28.166651
ENST00000613597	ENSG00000278558	0	0	0	0	0	0
ENST00000610959	ENSG00000274602	14.140839	35.288232	17.125541	123.362577	52.453267	66.730696
ENST00000619742	ENSG00000274602	42.462596	0	41.289459	0	99.189549	0
ENST00000617243	ENSG00000274602	0	0	66.556398	46.674998	40.218988	44.043164
ENST00000618794	ENSG00000274602	44.878275	22.151878	0	0	14.501616	33.742199
ENST00000612579	ENSG00000274602	0	0	0	0	0	0
ENST00000612500	ENSG00000274602	11.295208	0	0	17.035181	0	0
ENST00000611748	ENSG00000274602	0	0	0	0	0	8.508304
ENST00000616531	ENSG00000274602	0	0	23.873394	0	33.137628	29.181423
ENST00000614296	ENSG00000274625	0	0	0	0	0	0
ENST00000410698	ENSG00000222630	0	0	0	0	0	0
ENST00000619918	ENSG00000275793	1.588675	4.537339	8.766945	5.359405	13.429757	10.933075
ENST00000611762	ENSG00000275362	0	0	0	0	0	0
